SAF (HEFA-SPK) FOB Straits $/mt (mirror),UCO FOB Straits $/mt,Year,Quarter,Month,Day,Earliest Date
1950.5,1025.00,2025,Qtr 3,July,3,2025-07-03 00:00:00
1958.25,1030.00,2025,Qtr 3,July,4,2025-07-04 00:00:00
1949.75,1030.00,2025,Qtr 3,July,7,2025-07-07 00:00:00
1965.75,1030.00,2025,Qtr 3,July,8,2025-07-08 00:00:00
1958.25,1030.00,2025,Qtr 3,July,9,2025-07-09 00:00:00
1948,1030.00,2025,Qtr 3,July,10,2025-07-10 00:00:00
1974.75,1030.00,2025,Qtr 3,July,11,2025-07-11 00:00:00
1963.5,1040.00,2025,Qtr 3,July,14,2025-07-14 00:00:00
1961.5,1045.00,2025,Qtr 3,July,15,2025-07-15 00:00:00
1946.5,1045.00,2025,Qtr 3,July,16,2025-07-16 00:00:00
1966.75,1045.00,2025,Qtr 3,July,17,2025-07-17 00:00:00
1975.5,1050.00,2025,Qtr 3,July,18,2025-07-18 00:00:00
1975,1050.00,2025,Qtr 3,July,21,2025-07-21 00:00:00
1956.25,1055.00,2025,Qtr 3,July,22,2025-07-22 00:00:00
1952.75,1055.00,2025,Qtr 3,July,23,2025-07-23 00:00:00
